Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO","Procedure Type","Application type","Decision level",App_pc,Applied
2016,-,Ukraine,-,UKR,G,N,TA,P,23263
2016,-,Ukraine,-,UKR,G,R,FI,P,11
2016,-,Ukraine,-,UKR,G,N,EO,P,123
2016,-,Ukraine,-,UKR,G,N,IN,C,2227
2017,-,Ukraine,-,UKR,G,A,AR,P,1649
2017,-,Ukraine,-,UKR,G,N,FI,P,8639
2017,-,Ukraine,-,UKR,G,N,FA,P,8182
2017,-,Ukraine,-,UKR,G,R,AR,P,45
2017,-,Ukraine,-,UKR,G,A,JR,P,7
2017,-,Ukraine,-,UKR,G,R,FI,P,5
2017,-,Ukraine,-,UKR,G,R,RA,P,639
2017,-,Ukraine,-,UKR,G,N,FI,C,35
2017,-,Ukraine,-,UKR,G,R,RA,C,10
2017,-,Ukraine,-,UKR,G,A,RA,P,130
2017,-,Ukraine,-,UKR,G,A,AR,C,51
2017,-,Ukraine,-,UKR,G,N,NA,P,1088
2017,-,Ukraine,-,UKR,U,A,AR,P,5
2017,-,Ukraine,-,UKR,U,N,FI,P,5
2017,-,Ukraine,-,UKR,G,J,JR,P,17
2017,-,Ukraine,-,UKR,G,N,TA,P,11914
2017,-,Ukraine,-,UKR,U,A,JR,P,5
2017,-,Ukraine,-,UKR,G,N,EO,P,227
2017,-,Ukraine,-,UKR,G,N,IN,C,1757
2018,-,Ukraine,-,UKR,G,N,FI,P,8611
2018,-,Ukraine,-,UKR,G,N,FA,P,2101
2018,-,Ukraine,-,UKR,G,R,RA,P,693
2018,-,Ukraine,-,UKR,G,A,JR,P,391
2018,-,Ukraine,-,UKR,G,A,AR,P,1136
2018,-,Ukraine,-,UKR,G,R,FI,P,16
2018,-,Ukraine,-,UKR,G,A,RA,P,66
2018,-,Ukraine,-,UKR,G,A,AR,C,68
2018,-,Ukraine,-,UKR,G,J,JR,P,1320
2018,-,Ukraine,-,UKR,G,N,NA,P,1061
2018,-,Ukraine,-,UKR,U,N,FI,P,6
2018,-,Ukraine,-,UKR,G,N,AR,P,361
2018,-,Ukraine,-,UKR,G,N,TA,P,5822
2018,-,Ukraine,-,UKR,G,N,EO,P,197
2018,-,Ukraine,-,UKR,G,N,IN,C,727
2019,-,Ukraine,-,UKR,G,A,AR,P,1793
2019,-,Ukraine,-,UKR,G,N,FI,P,8110
2019,-,Ukraine,-,UKR,G,N,FA,P,883
2019,-,Ukraine,-,UKR,G,R,RA,P,574
2019,-,Ukraine,-,UKR,G,NR,FA,P,6
2019,-,Ukraine,-,UKR,G,R,FI,P,13
2019,-,Ukraine,-,UKR,G,N,FI,C,19
2019,-,Ukraine,-,UKR,G,R,RA,C,5
2019,-,Ukraine,-,UKR,G,A,RA,P,44
2019,-,Ukraine,-,UKR,G,A,AR,C,71
2019,-,Ukraine,-,UKR,G,N,NA,P,1180
2019,-,Ukraine,-,UKR,G,J,JR,P,5
2019,-,Ukraine,-,UKR,G,N,TA,P,6011
2019,-,Ukraine,-,UKR,G,N,EO,P,250
2019,-,Ukraine,-,UKR,G,N,IN,C,469
2020,-,Ukraine,-,UKR,G,A,AR,P,1365
2020,-,Ukraine,-,UKR,G,N,FA,P,324
2020,-,Ukraine,-,UKR,G,N,FI,P,5158
2020,-,Ukraine,-,UKR,G,R,RA,P,461
2020,-,Ukraine,-,UKR,G,A,JR,P,10
2020,-,Ukraine,-,UKR,G,NR,FA,P,5
2020,-,Ukraine,-,UKR,G,R,AR,P,5
2020,-,Ukraine,-,UKR,G,A,RA,P,26
2020,-,Ukraine,-,UKR,G,A,AR,C,44
2020,-,Ukraine,-,UKR,G,N,NA,P,462
2020,-,Ukraine,-,UKR,G,A,FI,P,35
2020,-,Ukraine,-,UKR,G,N,TA,P,4701
2020,-,Ukraine,-,UKR,G,N,EO,P,122
2020,-,Ukraine,-,UKR,G,N,IN,C,386
2021,-,Ukraine,-,UKR,G,N,FI,P,5701
2021,-,Ukraine,-,UKR,G,A,AR,P,1104
2021,-,Ukraine,-,UKR,G,N,FA,P,227
2021,-,Ukraine,-,UKR,G,R,RA,P,617
2021,-,Ukraine,-,UKR,G,A,JR,P,15
2021,-,Ukraine,-,UKR,G,NR,FA,P,12
2021,-,Ukraine,-,UKR,G,R,AR,P,156
2021,-,Ukraine,-,UKR,G,A,RA,P,37
2021,-,Ukraine,-,UKR,G,A,AR,C,26
2021,-,Ukraine,-,UKR,G,J,JR,P,521
2021,-,Ukraine,-,UKR,G,A,FI,P,271
2021,-,Ukraine,-,UKR,G,N,TA,P,3600
2021,-,Ukraine,-,UKR,G,N,EO,P,191
2021,-,Ukraine,-,UKR,G,N,IN,P,461
2022,-,Ukraine,-,UKR,G,N,FI,P,45839
2022,-,Ukraine,-,UKR,G,N,FA,P,709
2022,-,Ukraine,-,UKR,G,A,JR,P,5
2022,-,Ukraine,-,UKR,G,R,RA,P,1371
2022,-,Ukraine,-,UKR,G,NR,FA,P,1313
2022,-,Ukraine,-,UKR,G,A,AR,P,547
2022,-,Ukraine,-,UKR,U,N,FI,P,133
2022,-,Ukraine,-,UKR,G,R,FI,P,5
2022,-,Ukraine,-,UKR,G,A,RA,P,18
2022,-,Ukraine,-,UKR,G,J,JR,P,187
2022,-,Ukraine,-,UKR,U,A,AR,P,5
2022,-,Ukraine,-,UKR,G,N,FI,C,15
2022,-,Ukraine,-,UKR,G,R,AR,P,51
2022,-,Ukraine,-,UKR,G,N,TA,P,100758
2022,-,Ukraine,-,UKR,G,N,EO,P,1029
2022,-,Ukraine,-,UKR,G,N,IN,P,2212
2023,-,Ukraine,-,UKR,U,N,FI,P,65
2023,-,Ukraine,-,UKR,G,N,FI,P,22902
2023,-,Ukraine,-,UKR,G,N,FA,P,162
2023,-,Ukraine,-,UKR,G,R,RA,P,337
2023,-,Ukraine,-,UKR,G,NR,FA,P,15
2023,-,Ukraine,-,UKR,G,A,JR,P,58
2023,-,Ukraine,-,UKR,G,RA,RA,P,185
2023,-,Ukraine,-,UKR,G,A,AR,P,233
2023,-,Ukraine,-,UKR,G,R,FI,P,76
2023,-,Ukraine,-,UKR,G,R,AR,P,60
2023,-,Ukraine,-,UKR,G,A,FI,P,69
2023,-,Ukraine,-,UKR,G,N,TA,P,5581
2023,-,Ukraine,-,UKR,G,N,EO,P,517
2023,-,Ukraine,-,UKR,G,N,IN,P,5019
2024,-,Ukraine,-,UKR,U,N,FI,P,25
2024,-,Ukraine,-,UKR,G,N,FI,P,38042
2024,-,Ukraine,-,UKR,G,A,AR,P,776
2024,-,Ukraine,-,UKR,G,N,FA,P,114
2024,-,Ukraine,-,UKR,G,R,RA,P,272
2024,-,Ukraine,-,UKR,G,A,JR,P,658
2024,-,Ukraine,-,UKR,G,RA,RA,P,217
2024,-,Ukraine,-,UKR,G,R,FI,P,122
2024,-,Ukraine,-,UKR,G,R,AR,P,789
2024,-,Ukraine,-,UKR,G,A,FI,P,66
2024,-,Ukraine,-,UKR,G,NR,FA,P,5
2024,-,Ukraine,-,UKR,G,N,TA,P,3722
2024,-,Ukraine,-,UKR,G,N,EO,P,119
2024,-,Ukraine,-,UKR,G,N,IN,P,939
2025,-,Ukraine,-,UKR,G,N,FI,P,32674
2025,-,Ukraine,-,UKR,G,NR,FA,P,356
2025,-,Ukraine,-,UKR,G,N,FA,P,338
2025,-,Ukraine,-,UKR,G,R,RA,P,463
2025,-,Ukraine,-,UKR,G,A,JR,P,865
2025,-,Ukraine,-,UKR,G,A,AR,P,1700
2025,-,Ukraine,-,UKR,G,R,FI,P,97
2025,-,Ukraine,-,UKR,G,RA,RA,P,326
2025,-,Ukraine,-,UKR,U,N,FI,P,16
2025,-,Ukraine,-,UKR,G,N,FI,C,5
2025,-,Ukraine,-,UKR,G,N,TA,P,3332
2025,-,Ukraine,-,UKR,G,RA,FI,P,5
2025,-,Ukraine,-,UKR,G,N,EO,P,314
